part_id,eq_id,part_production_date,part_type,part_weight,part_material,part_color,part_dimensions,part_cost,part_quality_grade,part_purity
PART00035,EQUIP001,2023-07-18,Type A,21.12,Steel,Blue,10x10x10,158.28,C,p-0.945
PART00036,EQUIP001,2023-08-20,Type A,80.55,Aluminum,Red,10x10x10,336.9,D,p-0.959
PART00037,EQUIP001,2023-11-20,Type A,83.02,Steel,Blue,20x20x20,96.69,A,p-0.946
PART00038,EQUIP001,2023-09-05,Type A,69.36,Aluminum,Green,10x10x10,409.33,B,p-0.95
PART00039,EQUIP001,2024-01-09,Type A,91.9,Aluminum,Red,20x20x20,19.65,D,p-0.959
PART00040,EQUIP001,2024-01-08,Type A,8.34,Aluminum,Red,20x20x20,474.51,B,p-0.949
PART00041,EQUIP001,2024-01-26,Type A,54.44,Steel,Green,10x10x10,397.1,A,p-0.945
PART00042,EQUIP001,2024-06-02,Type A,1.3,Copper,Red,25x25x25,254.34,A,p-0.948
PART00043,EQUIP001,2023-12-28,Type A,11.69,Copper,Black,10x10x10,452.15,A,p-0.954
PART00044,EQUIP001,2024-06-05,Type A,56.14,Steel,Green,20x20x20,16.31,C,p-0.959
PART00045,EQUIP001,2023-11-22,Type A,50.65,Aluminum,Blue,15x15x15,428.44,A,p-0.948
PART00046,EQUIP001,2024-04-12,Type A,79.83,Copper,Black,10x10x10,164.82,A,p-0.947
PART00047,EQUIP001,2023-09-12,Type A,94.23,Aluminum,Black,20x20x20,236.56,D,p-0.948
PART00048,EQUIP001,2023-07-22,Type A,79.96,Copper,Black,15x15x15,59.64,B,p-0.944
PART00049,EQUIP001,2024-03-04,Type A,59.4,Aluminum,Green,10x10x10,46.49,D,p-0.94
PART00050,EQUIP001,2024-05-15,Type A,12.04,Plastic,Red,25x25x25,379.75,D,p-0.942
PART00051,EQUIP001,2024-06-10,Type A,87.55,Plastic,Black,25x25x25,472.47,C,p-0.942
PART00052,EQUIP001,2023-09-28,Type A,61.38,Aluminum,Black,15x15x15,195.99,D,p-0.944
PART00053,EQUIP001,2023-10-06,Type A,36.7,Plastic,Blue,10x10x10,174.83,C,p-0.94
PART00054,EQUIP001,2023-09-09,Type A,96.03,Steel,Green,20x20x20,436.99,B,p-0.945
PART00055,EQUIP001,2024-03-08,Type A,2.83,Plastic,Red,15x15x15,271.19,C,p-0.951
PART00056,EQUIP001,2024-05-09,Type A,4.28,Steel,Black,25x25x25,460.65,A,p-0.96
PART00057,EQUIP001,2023-07-06,Type A,3.55,Copper,Green,20x20x20,211.41,A,p-0.955
PART00058,EQUIP001,2024-05-19,Type A,77.02,Steel,Black,10x10x10,213.1,B,p-0.951
PART00059,EQUIP001,2023-07-08,Type A,31.49,Plastic,Black,15x15x15,64.6,B,p-0.95
PART00060,EQUIP001,2023-12-12,Type A,70.93,Copper,Red,10x10x10,453.98,B,p-0.958
PART00061,EQUIP001,2024-02-27,Type A,93.96,Plastic,Black,10x10x10,200.75,B,p-0.959
PART00062,EQUIP001,2024-04-28,Type A,60.95,Steel,Blue,20x20x20,343.99,B,p-0.953
PART00063,EQUIP001,2024-06-06,Type A,68.79,Aluminum,Blue,20x20x20,149.09,D,p-0.957
PART00064,EQUIP001,2023-07-23,Type A,45.23,Plastic,Black,20x20x20,192.04,C,p-0.944
PART00065,EQUIP001,2023-08-26,Type A,26.36,Plastic,Black,25x25x25,486.54,B,p-0.955
PART00066,EQUIP001,2023-08-19,Type A,17.05,Steel,Green,20x20x20,148.79,A,p-0.957
PART00067,EQUIP001,2024-05-18,Type A,48.44,Plastic,Red,20x20x20,180.16,C,p-0.946
PART00068,EQUIP001,2024-03-03,Type A,22.13,Aluminum,Black,15x15x15,331.59,B,p-0.952
PART00069,EQUIP001,2024-05-15,Type A,70.8,Aluminum,Green,25x25x25,446.93,B,p-0.959
PART00070,EQUIP001,2024-02-16,Type A,34.21,Copper,Blue,15x15x15,294.82,C,p-0.95
PART00071,EQUIP001,2024-05-06,Type A,7.6,Steel,Blue,20x20x20,138.99,B,p-0.955
PART00072,EQUIP001,2024-05-14,Type A,85.79,Steel,Blue,25x25x25,117.07,D,p-0.949
PART00073,EQUIP001,2024-05-23,Type A,16.42,Plastic,Blue,10x10x10,188.05,C,p-0.947
PART00074,EQUIP001,2023-07-17,Type A,8.5,Steel,Blue,15x15x15,325.74,D,p-0.94
PART00075,EQUIP001,2023-09-17,Type A,43.54,Copper,Black,15x15x15,417.63,D,p-0.953
PART00076,EQUIP001,2024-03-26,Type A,87.88,Steel,Green,10x10x10,457.15,C,p-0.954
PART00077,EQUIP001,2024-04-26,Type A,65.37,Plastic,Red,10x10x10,266.9,B,p-0.944
PART00078,EQUIP001,2023-07-11,Type A,97.85,Plastic,Red,20x20x20,16.07,A,p-0.946
PART00079,EQUIP001,2024-02-02,Type A,76.95,Aluminum,Black,10x10x10,373.66,D,p-0.946
PART00080,EQUIP001,2024-05-07,Type A,12.54,Steel,Red,20x20x20,309.97,D,p-0.958
PART00081,EQUIP001,2023-10-14,Type A,86.91,Copper,Red,20x20x20,139.11,C,p-0.953
PART00082,EQUIP001,2024-04-12,Type A,81.46,Steel,Red,20x20x20,191.52,C,p-0.96
PART00083,EQUIP001,2023-09-20,Type A,27.43,Copper,Red,10x10x10,247.08,B,p-0.954
PART00084,EQUIP001,2024-03-04,Type A,53.48,Plastic,Black,10x10x10,219.4,A,p-0.956
PART00085,EQUIP001,2023-08-16,Type A,66.84,Copper,Red,25x25x25,344.03,C,p-0.959
PART00086,EQUIP001,2023-09-04,Type A,11.91,Steel,Red,10x10x10,477.17,C,p-0.955
PART00087,EQUIP001,2023-12-08,Type A,93.91,Copper,Blue,10x10x10,144.99,D,p-0.959
PART00088,EQUIP001,2023-07-30,Type A,75.25,Aluminum,Black,15x15x15,303.05,B,p-0.942
PART00089,EQUIP001,2024-03-02,Type A,39.3,Steel,Black,25x25x25,168.53,B,p-0.955
PART00090,EQUIP001,2023-09-23,Type A,95.93,Aluminum,Red,15x15x15,293.8,A,p-0.955
PART00091,EQUIP001,2023-11-13,Type A,77.74,Plastic,Blue,20x20x20,482.4,C,p-0.952
PART00092,EQUIP001,2024-06-02,Type A,19.55,Plastic,Black,25x25x25,265.61,D,p-0.959
PART00093,EQUIP001,2024-02-24,Type A,46.45,Copper,Green,20x20x20,475.14,D,p-0.954
PART00094,EQUIP001,2024-01-01,Type A,80.16,Plastic,Green,20x20x20,17.73,C,p-0.95
PART00095,EQUIP001,2024-04-11,Type A,83.81,Aluminum,Black,10x10x10,257.14,B,p-0.954
PART00096,EQUIP001,2024-01-15,Type A,62.21,Plastic,Green,15x15x15,251.44,B,p-0.954
PART00097,EQUIP001,2024-04-19,Type A,29.74,Copper,Blue,20x20x20,234.52,C,p-0.945
PART00098,EQUIP001,2023-08-29,Type A,94.27,Aluminum,Green,25x25x25,75.96,A,p-0.958
PART00099,EQUIP001,2023-12-15,Type A,86.26,Aluminum,Blue,25x25x25,29.63,D,p-0.954
PART00100,EQUIP001,2024-06-27,Type A,87.2,Copper,Blue,25x25x25,80.07,A,p-0.944
PART00101,EQUIP001,2024-02-17,Type A,13.13,Aluminum,Red,10x10x10,232.38,B,p-0.946
PART00102,EQUIP001,2024-04-07,Type A,81.01,Plastic,Black,10x10x10,85.57,C,p-0.942
PART00103,EQUIP001,2023-10-30,Type A,61.57,Steel,Black,15x15x15,331.93,A,p-0.956
PART00104,EQUIP001,2023-09-09,Type A,99.79,Copper,Blue,25x25x25,496.92,B,p-0.957
PART00105,EQUIP001,2024-04-12,Type A,60.93,Aluminum,Red,15x15x15,42.53,C,p-0.953
PART00106,EQUIP001,2023-09-18,Type A,17.78,Plastic,Blue,25x25x25,31.32,A,p-0.956
PART00107,EQUIP001,2024-05-25,Type A,88.62,Copper,Green,15x15x15,346.4,A,p-0.952
PART00108,EQUIP001,2023-11-18,Type A,79.67,Steel,Black,10x10x10,227.67,B,p-0.959
PART00109,EQUIP001,2023-12-30,Type A,35.39,Aluminum,Red,15x15x15,68.02,B,p-0.954
PART00110,EQUIP001,2024-06-06,Type A,68.45,Aluminum,Blue,25x25x25,332.53,A,p-0.947
PART00111,EQUIP001,2024-05-20,Type A,66.14,Plastic,Blue,25x25x25,185.51,D,p-0.955
PART00112,EQUIP001,2023-08-18,Type A,24.46,Steel,Red,10x10x10,50.29,A,p-0.958
PART00113,EQUIP001,2024-03-18,Type A,47.82,Copper,Blue,10x10x10,229.93,B,p-0.946
PART00114,EQUIP001,2024-05-01,Type A,24.96,Plastic,Red,25x25x25,52.37,A,p-0.943
PART00115,EQUIP001,2023-10-24,Type A,51.4,Aluminum,Green,20x20x20,51.39,D,p-0.945
PART00116,EQUIP001,2024-04-19,Type A,87.75,Copper,Black,20x20x20,208.66,B,p-0.96
PART00117,EQUIP001,2024-04-14,Type A,59.16,Plastic,Black,15x15x15,198.69,D,p-0.959
PART00118,EQUIP001,2024-01-29,Type A,57.17,Plastic,Green,10x10x10,205.42,C,p-0.954
PART00119,EQUIP001,2023-07-14,Type A,26.23,Plastic,Blue,25x25x25,203.44,B,p-0.96
PART00120,EQUIP001,2024-06-08,Type A,35.52,Steel,Black,20x20x20,444.97,B,p-0.956
PART00121,EQUIP001,2024-04-25,Type A,23.64,Aluminum,Green,25x25x25,206.68,B,p-0.941
PART00122,EQUIP001,2024-06-29,Type A,62.1,Steel,Black,20x20x20,24.9,B,p-0.949
PART00123,EQUIP001,2024-03-17,Type A,29.17,Aluminum,Black,10x10x10,280.58,B,p-0.956
PART00124,EQUIP001,2024-02-10,Type A,82.93,Aluminum,Black,25x25x25,246.54,B,p-0.959
PART00125,EQUIP001,2023-11-26,Type A,81.37,Steel,Red,15x15x15,192.9,C,p-0.95
PART00126,EQUIP001,2023-09-19,Type A,71.95,Aluminum,Green,25x25x25,38.42,A,p-0.955
PART00127,EQUIP001,2024-04-06,Type A,58.47,Plastic,Black,10x10x10,120.36,D,p-0.96
PART00128,EQUIP001,2023-08-08,Type A,68.77,Copper,Red,20x20x20,95.19,C,p-0.948
PART00129,EQUIP001,2023-11-11,Type A,84.1,Copper,Black,20x20x20,171.83,D,p-0.95
PART00130,EQUIP001,2024-04-15,Type A,23.56,Aluminum,Red,25x25x25,339.53,A,p-0.95
PART00131,EQUIP001,2023-08-25,Type A,87.1,Aluminum,Black,25x25x25,103.55,B,p-0.94
PART00132,EQUIP001,2023-10-30,Type A,26.28,Plastic,Red,20x20x20,50.88,A,p-0.944
PART00133,EQUIP001,2024-06-25,Type A,83.9,Steel,Green,20x20x20,57.88,D,p-0.959
PART00134,EQUIP001,2024-05-20,Type A,33.72,Aluminum,Green,15x15x15,16.39,C,p-0.956
PART00135,EQUIP001,2023-11-16,Type A,65.06,Aluminum,Red,20x20x20,273.15,A,p-0.948
PART00136,EQUIP001,2023-11-10,Type A,58.83,Steel,Red,25x25x25,274.44,B,p-0.95
PART00137,EQUIP001,2023-10-23,Type A,83.87,Copper,Green,25x25x25,141.11,D,p-0.951
PART00138,EQUIP001,2024-04-29,Type A,44.62,Copper,Red,15x15x15,424.4,D,p-0.941
PART00139,EQUIP001,2024-05-31,Type A,74.2,Plastic,Red,20x20x20,427.85,D,p-0.95
PART00140,EQUIP001,2023-12-08,Type A,27.96,Aluminum,Black,20x20x20,403.18,A,p-0.943
PART00141,EQUIP001,2024-06-22,Type A,52.74,Aluminum,Green,15x15x15,215.69,B,p-0.955
PART00142,EQUIP001,2024-04-04,Type A,78.27,Aluminum,Blue,20x20x20,374.0,A,p-0.953
PART00143,EQUIP001,2023-08-25,Type A,59.58,Copper,Black,25x25x25,372.6,D,p-0.952
PART00144,EQUIP001,2023-11-22,Type A,88.87,Aluminum,Green,15x15x15,465.21,C,p-0.957
PART00145,EQUIP001,2023-09-07,Type A,7.81,Copper,Red,15x15x15,380.6,A,p-0.956
PART00146,EQUIP001,2023-07-04,Type A,24.69,Copper,Red,25x25x25,18.47,D,p-0.952
PART00147,EQUIP001,2023-12-24,Type A,12.69,Copper,Red,15x15x15,436.25,C,p-0.952
PART00148,EQUIP001,2024-02-17,Type A,54.76,Steel,Blue,10x10x10,154.22,B,p-0.959
PART00149,EQUIP001,2023-09-13,Type A,52.82,Copper,Blue,10x10x10,163.98,B,p-0.959
PART00150,EQUIP001,2024-05-25,Type A,33.48,Plastic,Black,20x20x20,110.06,A,p-0.956
PART00151,EQUIP001,2023-12-19,Type A,99.31,Aluminum,Red,20x20x20,83.85,B,p-0.954
PART00152,EQUIP001,2024-02-27,Type A,74.28,Plastic,Black,25x25x25,13.74,C,p-0.955
PART00153,EQUIP001,2024-05-15,Type A,77.09,Aluminum,Blue,20x20x20,90.93,D,p-0.947
PART00154,EQUIP001,2024-05-30,Type A,89.91,Steel,Blue,25x25x25,182.39,B,p-0.958
PART00155,EQUIP001,2023-09-09,Type A,97.93,Copper,Red,15x15x15,256.53,C,p-0.949
PART00156,EQUIP001,2023-09-04,Type A,37.41,Steel,Red,15x15x15,117.99,C,p-0.951
PART00157,EQUIP001,2023-10-14,Type A,19.68,Aluminum,Black,20x20x20,407.18,C,p-0.956
PART00158,EQUIP001,2023-09-29,Type A,76.89,Plastic,Blue,25x25x25,188.55,B,p-0.944
PART00159,EQUIP001,2023-12-29,Type A,93.69,Copper,Green,15x15x15,54.14,B,p-0.946
PART00160,EQUIP001,2023-08-22,Type A,19.54,Plastic,Blue,10x10x10,291.98,B,p-0.958
PART00161,EQUIP001,2024-04-12,Type A,85.19,Steel,Green,10x10x10,154.43,B,p-0.942
PART00162,EQUIP001,2023-08-19,Type A,14.47,Steel,Green,10x10x10,257.92,A,p-0.942
PART00163,EQUIP001,2024-06-27,Type A,47.67,Plastic,Black,20x20x20,441.38,D,p-0.947
PART00164,EQUIP001,2023-12-17,Type A,62.26,Aluminum,Red,10x10x10,255.22,B,p-0.956
PART00165,EQUIP001,2024-04-01,Type A,59.7,Steel,Blue,25x25x25,280.72,C,p-0.948
PART00166,EQUIP001,2023-09-16,Type A,75.16,Copper,Blue,10x10x10,249.49,C,p-0.946
PART00167,EQUIP001,2023-11-18,Type A,10.56,Steel,Green,10x10x10,17.01,C,p-0.953
PART00168,EQUIP001,2024-01-26,Type A,43.39,Aluminum,Black,15x15x15,179.64,A,p-0.95
PART00169,EQUIP001,2023-10-26,Type A,55.96,Aluminum,Blue,20x20x20,177.02,C,p-0.954
PART00170,EQUIP001,2024-01-14,Type A,28.19,Copper,Green,10x10x10,382.16,C,p-0.941
PART00171,EQUIP001,2023-10-20,Type A,57.28,Plastic,Green,15x15x15,327.09,B,p-0.942
PART00172,EQUIP001,2024-04-14,Type A,44.17,Aluminum,Blue,25x25x25,328.41,D,p-0.944
PART00173,EQUIP001,2024-01-05,Type A,13.21,Copper,Green,10x10x10,78.26,B,p-0.941
PART00174,EQUIP001,2024-01-07,Type A,6.97,Plastic,Green,25x25x25,306.29,A,p-0.949
PART00175,EQUIP001,2024-03-07,Type A,91.88,Copper,Red,25x25x25,353.95,A,p-0.949
PART00176,EQUIP001,2024-03-04,Type A,19.63,Steel,Green,20x20x20,432.5,D,p-0.952
PART00177,EQUIP001,2024-01-24,Type A,19.7,Plastic,Green,10x10x10,355.82,C,p-0.941
PART00178,EQUIP001,2024-05-13,Type A,69.72,Steel,Black,10x10x10,76.18,D,p-0.949
PART00179,EQUIP001,2024-04-29,Type A,77.9,Copper,Blue,20x20x20,401.96,B,p-0.946
PART00180,EQUIP001,2024-02-25,Type A,89.89,Copper,Red,15x15x15,446.63,C,p-0.955
PART00181,EQUIP001,2024-04-05,Type A,45.89,Copper,Blue,20x20x20,105.61,D,p-0.943
PART00182,EQUIP001,2023-10-23,Type A,31.37,Aluminum,Red,15x15x15,27.78,D,p-0.955
PART00183,EQUIP001,2024-05-08,Type A,83.34,Copper,Red,25x25x25,145.87,D,p-0.942
PART00184,EQUIP001,2023-11-23,Type A,4.04,Plastic,Black,25x25x25,19.08,D,p-0.943
PART00185,EQUIP001,2024-03-09,Type A,41.39,Copper,Blue,20x20x20,204.76,D,p-0.951
PART00186,EQUIP001,2023-07-01,Type A,77.62,Aluminum,Red,10x10x10,288.65,D,p-0.946
PART00187,EQUIP001,2023-07-28,Type A,1.97,Copper,Black,15x15x15,257.33,C,p-0.943
PART00188,EQUIP001,2024-06-23,Type A,67.21,Plastic,Red,20x20x20,402.77,B,p-0.956
PART00189,EQUIP001,2023-07-09,Type A,40.59,Steel,Red,25x25x25,396.08,A,p-0.959
PART00190,EQUIP001,2024-01-18,Type A,67.25,Steel,Red,10x10x10,213.73,B,p-0.953
PART00191,EQUIP001,2023-08-31,Type A,75.22,Steel,Blue,10x10x10,107.32,A,p-0.941
PART00192,EQUIP001,2024-02-15,Type A,4.48,Steel,Red,20x20x20,479.87,B,p-0.953
PART00193,EQUIP001,2023-09-23,Type A,17.53,Plastic,Black,15x15x15,217.87,A,p-0.951
PART00194,EQUIP001,2023-12-04,Type A,63.79,Steel,Green,25x25x25,93.67,A,p-0.953
PART00195,EQUIP001,2023-07-31,Type A,47.45,Copper,Blue,15x15x15,13.32,A,p-0.956
PART00196,EQUIP001,2023-07-20,Type A,10.94,Steel,Green,20x20x20,342.14,A,p-0.957
PART00197,EQUIP001,2023-10-02,Type A,84.08,Aluminum,Red,10x10x10,328.68,C,p-0.952
PART00198,EQUIP001,2023-09-08,Type A,65.39,Aluminum,Red,15x15x15,456.61,D,p-0.959
PART00199,EQUIP001,2023-07-28,Type A,11.28,Plastic,Red,20x20x20,15.43,B,p-0.948
PART00200,EQUIP001,2023-08-25,Type A,38.67,Aluminum,Red,20x20x20,68.04,A,p-0.957
PART00201,EQUIP001,2023-08-04,Type A,5.39,Copper,Black,15x15x15,412.92,D,p-0.942
PART00202,EQUIP001,2023-09-16,Type A,41.6,Steel,Red,15x15x15,279.83,A,p-0.953
PART00203,EQUIP001,2023-10-28,Type A,35.07,Aluminum,Green,15x15x15,49.84,B,p-0.96
PART00204,EQUIP001,2024-04-07,Type A,91.57,Aluminum,Black,25x25x25,335.11,D,p-0.95
PART00205,EQUIP001,2024-01-28,Type A,58.25,Copper,Green,20x20x20,392.1,C,p-0.944
PART00206,EQUIP001,2024-04-21,Type A,64.31,Plastic,Red,15x15x15,294.43,C,p-0.947
PART00207,EQUIP001,2024-01-29,Type A,25.15,Plastic,Black,15x15x15,176.07,C,p-0.943
PART00208,EQUIP001,2023-07-09,Type A,7.73,Plastic,Red,15x15x15,29.16,C,p-0.959
PART00209,EQUIP001,2024-06-01,Type A,73.09,Aluminum,Black,10x10x10,465.82,C,p-0.943
PART00210,EQUIP001,2023-11-21,Type A,97.35,Aluminum,Green,10x10x10,49.46,A,p-0.94
PART00211,EQUIP001,2024-01-22,Type A,28.29,Steel,Red,15x15x15,192.49,C,p-0.957
PART00212,EQUIP001,2024-01-30,Type A,33.11,Aluminum,Red,15x15x15,53.51,C,p-0.957
PART00213,EQUIP001,2023-07-24,Type A,61.33,Aluminum,Green,25x25x25,294.47,D,p-0.956
PART00214,EQUIP001,2023-10-06,Type A,77.8,Plastic,Black,10x10x10,386.92,B,p-0.96
PART00215,EQUIP001,2024-03-07,Type A,45.52,Aluminum,Blue,20x20x20,304.11,B,p-0.959
PART00216,EQUIP001,2024-06-07,Type A,11.67,Plastic,Blue,25x25x25,84.29,C,p-0.96
PART00217,EQUIP001,2024-06-11,Type A,50.34,Plastic,Green,20x20x20,40.5,C,p-0.944
PART00218,EQUIP001,2024-06-18,Type A,33.26,Steel,Black,15x15x15,157.88,D,p-0.942
PART00219,EQUIP001,2024-02-01,Type A,69.44,Aluminum,Green,20x20x20,355.48,D,p-0.944
PART00220,EQUIP001,2024-03-19,Type A,10.56,Plastic,Black,20x20x20,476.08,D,p-0.949
PART00221,EQUIP001,2024-05-31,Type A,86.15,Steel,Red,20x20x20,389.27,A,p-0.951
PART00222,EQUIP001,2023-09-21,Type A,79.13,Aluminum,Black,15x15x15,83.46,B,p-0.96
PART00223,EQUIP001,2024-03-04,Type A,42.37,Aluminum,Green,10x10x10,347.92,A,p-0.944
PART00224,EQUIP001,2023-07-09,Type A,79.89,Aluminum,Blue,15x15x15,50.15,A,p-0.953
PART00225,EQUIP001,2024-05-17,Type A,1.57,Aluminum,Blue,10x10x10,153.51,A,p-0.951
PART00226,EQUIP001,2023-08-29,Type A,7.98,Aluminum,Blue,20x20x20,314.92,A,p-0.947
PART00227,EQUIP001,2024-01-16,Type A,8.61,Copper,Red,25x25x25,119.69,D,p-0.945
PART00228,EQUIP001,2023-12-12,Type A,15.61,Aluminum,Blue,25x25x25,260.89,B,p-0.951
PART00229,EQUIP001,2023-09-07,Type A,29.61,Copper,Blue,10x10x10,180.26,A,p-0.955
PART00230,EQUIP001,2023-09-18,Type A,74.28,Steel,Black,25x25x25,107.18,D,p-0.945
PART00231,EQUIP001,2023-07-22,Type A,67.46,Steel,Green,20x20x20,194.63,B,p-0.947
PART00232,EQUIP001,2023-11-29,Type A,18.63,Aluminum,Red,15x15x15,60.23,B,p-0.944
PART00233,EQUIP001,2024-04-15,Type A,60.76,Plastic,Blue,20x20x20,430.31,B,p-0.94
PART00234,EQUIP001,2024-05-22,Type A,47.18,Aluminum,Red,25x25x25,339.26,C,p-0.955
PART00235,EQUIP001,2023-10-20,Type A,34.75,Aluminum,Green,10x10x10,425.71,C,p-0.956
PART00236,EQUIP001,2023-12-22,Type A,45.47,Copper,Blue,20x20x20,321.79,B,p-0.943
PART00237,EQUIP001,2023-12-24,Type A,63.71,Plastic,Green,25x25x25,296.02,D,p-0.949
PART00238,EQUIP001,2023-07-15,Type A,13.13,Aluminum,Blue,15x15x15,451.26,C,p-0.958
PART00239,EQUIP001,2024-04-15,Type A,57.7,Steel,Black,25x25x25,284.36,B,p-0.95
PART00240,EQUIP001,2023-10-14,Type A,12.63,Plastic,Green,25x25x25,245.49,C,p-0.956
PART00241,EQUIP001,2024-01-19,Type A,49.08,Plastic,Green,10x10x10,410.47,B,p-0.955
PART00242,EQUIP001,2023-07-03,Type A,58.36,Plastic,Red,10x10x10,349.13,B,p-0.958
PART00243,EQUIP001,2023-04-02,Type A,13.76,Aluminum,Blue,15x15x15,420.09,C,p-0.94
PART00244,EQUIP001,2023-05-05,Type A,65.55,Copper,Black,20x20x20,193.35,B,p-0.949
PART00245,EQUIP001,2023-02-25,Type A,20.91,Steel,Red,10x10x10,304.56,D,p-0.947
PART00246,EQUIP001,2023-08-14,Type A,54.07,Copper,Green,15x15x15,76.71,A,p-0.951
PART00247,EQUIP001,2023-07-05,Type A,64.44,Steel,Green,20x20x20,15.41,D,p-0.941
PART00248,EQUIP001,2023-11-11,Type A,61.07,Copper,Red,15x15x15,23.5,B,p-0.949
PART00249,EQUIP001,2023-12-08,Type A,31.47,Copper,Black,25x25x25,264.04,C,p-0.953
PART00250,EQUIP001,2023-05-25,Type A,8.65,Copper,Blue,25x25x25,403.11,D,p-0.949
PART00251,EQUIP001,2023-07-12,Type A,28.58,Plastic,Green,25x25x25,178.34,A,p-0.956
PART00252,EQUIP001,2023-02-01,Type A,5.53,Steel,Red,15x15x15,62.87,C,p-0.945
PART00253,EQUIP001,2023-02-20,Type A,86.06,Copper,Green,25x25x25,163.88,C,p-0.947
PART00254,EQUIP001,2023-09-07,Type A,5.42,Plastic,Red,25x25x25,448.38,C,p-0.952
PART00255,EQUIP001,2023-09-11,Type A,27.47,Aluminum,Blue,25x25x25,303.24,A,p-0.958
PART00256,EQUIP001,2023-12-29,Type A,32.19,Copper,Red,15x15x15,380.81,A,p-0.955
PART00257,EQUIP001,2023-04-08,Type A,83.8,Plastic,Red,15x15x15,375.99,D,p-0.954
PART00258,EQUIP001,2023-08-09,Type A,67.17,Copper,Black,20x20x20,373.85,C,p-0.955
PART00259,EQUIP001,2023-11-27,Type A,58.3,Aluminum,Blue,25x25x25,387.39,C,p-0.956
PART00260,EQUIP001,2023-10-25,Type A,47.19,Copper,Blue,10x10x10,488.11,D,p-0.948
PART00261,EQUIP001,2023-12-22,Type A,68.0,Aluminum,Red,25x25x25,331.35,C,p-0.943
